statement,date,target
Suggests ivermectin is an effective treatment for COVID-19,"April 13, 2022",false
Gilbert Gottfried died from the COVID-19 vaccine.,"April 13, 2022",false
2004 video shows Anthony Fauci is ignoring science on natural immunity with regard to COVID-19.,"April 8, 2022",false
Pfizer paid “$2.8 million bribe payment” to the FDA for COVID-19 vaccine approval.,"April 5, 2022",false
Foo Fighters drummer Taylor Hawkins died from a COVID-19 vaccine.,"March 29, 2022",false
"""Documents were published confirming Moderna created the COVID-19 Virus.”","March 24, 2022",false
A man was arrested “for wearing a T-shirt that says ‘We The People’ and has a picture of the ‘Statue of Liberty.’”,"March 24, 2022",false
Joe Biden’s announcement that the Justice Department will name a chief prosecutor for pandemic fraud means “the government is going to investigate itself.”,"March 23, 2022",false
"The drug labels for the Pfizer COVID-19 vaccine “were blank when they should have contained all these diseases and adverse events"" listed in a confidential report.","March 23, 2022",false
"""People who have had cancer in the past, they get the COVID jab and now, they're getting cancer two to three, four months later and it's the same cancer they had except much worse.""","March 11, 2022",false
Dr. Anthony Fauci has not spoken or appeared publicly for several weeks.,"March 7, 2022",false
CDC Director Dr. Rochelle Walensky said she gets COVID-19 reports from CNN.,"March 7, 2022",false
Wearing masks is “COVID theater” and “not doing anything.”,"March 4, 2022",false
"“Over-vaccination causes faster mutation of the (COVID-19) virus, which causes a super virus we may not have the ability to fight off.”","March 1, 2022",false
“News report accidentally reveals doctors giving ‘banned’ COVID treatment to the Queen.”,"February 24, 2022",false
The Centers for Disease Control and Prevention has amassed the “largest collection of human data in history” through COVID-19 PCR tests.,"February 23, 2022",false
Video shows that Sûreté du Québec officers “removed their identifying names and badge numbers from their uniforms in Ottawa.”,"February 21, 2022",false
“Airline CEO gets pied for forcing vaccinations”,"February 17, 2022",false
"List shows “1,000 peer reviewed studies questioning COVID-19 vaccine safety”","February 17, 2022",false
"“Johns Hopkins University confirms: You can be vaccinated with a PCR test, even without knowing”","February 16, 2022",false
