statement,date
"COVID-19 is a synthetic version of “snake venom” that evil forces are spreading through remdesivir, the COVID-19 vaccines and drinking water to “make you a hybrid of Satan.”","April 19, 2022"
The COVID-19 vaccines contain “HIV lipid wrappers.”,"April 12, 2022"
“Worldwide data has confirmed the vaccinated are developing COVID vaccine-induced Acquired Immune Deficiency Syndrome.”,"March 8, 2022"
"Luc Montagnier's death is linked to his ""exposing"" that there's HIV in the COVID-19 vaccine.","February 23, 2022"
Says the FDA said that Pfizer “falsely misled” the agency about the safety of the COVID-19 vaccines and that the shots are killing more people than they save.,"February 17, 2022"
"Says that President Joe Biden said Americans will start seeing “direct deposits in their bank accounts this weekend,” and that Medicare recipients will get back $2,880.","February 16, 2022"
"Pfizer is ""literally using the force of government and the culture of fear to jab children under 5 — with zero basis in science — to make billions of dollars.""","February 15, 2022"
“The second booster has eight strains of HIV.”,"February 14, 2022"
"“A grand jury trial begins into crimes against humanity"" involving a fabricated coronavirus pandemic.","February 10, 2022"
"""In Joe Biden’s America, your children are more likely to have access to a crack pipe than a mask-free education.""","February 10, 2022"
“National Guard doctors find hospitals empty of COVID patients.”,"January 27, 2022"
"“In New York state, if you’re white, you have to go to the back of the line to get medical help.”","• January 27,"
Image from news broadcast shows a hospital in France trying to pass off a mannequin as a COVID-19 patient.,"January 25, 2022"
"""Total deaths from COVID MUCH LOWER than reported.”","January 24, 2022"
"Estimated annual COVID-19 deaths in the U.S. totals 27,530, after you subtract those who died “with, not from” COVID-19, not in nursing homes and who didn't have four or more comorbidities.","January 21, 2022"
"Walgreens refrigerators are scanning shoppers’ hands and foreheads for “the mark of the beast,” and that “if you don’t have the mark later on, you won’t be able to buy.”","January 11, 2022"
"Says Betty White said Dec. 28, days before she died, “Eat healthy and get all your vaccines. I just got boosted today.”","January 3, 2022"
“Six-month Pfizer data show COVID vaccine causes more illness than it prevents.”,"January 3, 2022"
“They've now killed close to twice as many kids from the vaccine as have died from COVID.”,"December 21, 2021"
“They've planned this” COVID-19 “pandemic all along!”,"December 16, 2021"
The COVID-19 vaccines cause AIDS.,"December 15, 2021"
"Around the world, people who exercise their ""health autonomy"" and don't get vaccinated are being put ""basically into internment camps.""","December 13, 2021"
The COVID-19 vaccine is the “deadliest vaccine ever made.”,"December 10, 2021"
Says Vice President Kamala Harris called the unvaccinated “dirty Trump people.”,"December 8, 2021"
"“SHOCKING: In the wake of Austria’s drastic lockdown of unvaccinated people, EU chief calls for throwing out Nuremberg Code.”","December 7, 2021"
Omicron 'hysteria' was timed so that it would coincide with and distract from the Ghislaine Maxwell trial.,"November 30, 2021"
Says Kamala Harris said only vaccinated people are hospitalized and dying from COVID-19.,"November 17, 2021"
"""Children are 50 times more likely to be killed by the Covid vaccines than by the virus itself.""","November 15, 2021"
“Wife of Pfizer’s CEO dies after complications from the vaccine.”,"November 15, 2021"
"""There is no added safety to the public if you're vaccinated.""","November 11, 2021"
